,ID,station,line,operator,type_sym,type,interchange,agr_area,Com_area,Indu_area,Ins_area,Mil_area,Recre_area,Resi_area,Tran_area,Under_area,Util_area,Water_area,Wood_area,nomx_area,Mix_area,com_lgret_ar,com_mx_ar,edu_ar,pkin_tran_ar,pkin_und_ar,resi_mx_ar,resi_multi_ar,resi_sigle_ar,under_gen_ar,under_trsit_ar,geometry,
59,59,Thomson Avenue,Route 101 Trolley,SEPTA,Trolley,Trolley,,0,81767.54494,0,172987.6723,0,516005.1503,1053181.781,820.212752,10683.01822,0,0,270291.6335,2105737.013,0,0,0,91355.95604,0,0,0,112942.0564,937941.1965,10683.01822,0,c(-75.3454506376596, 39.9211186154995)
60,60,Beatty Road,Route 101 Trolley,SEPTA,Trolley,Trolley,,0,209504.6892,0,42359.04231,0,37399.66657,1398327.29,2759.784694,17983.97271,2577.845327,0,37950.57648,1746118.281,2744.586118,0,2004.32695,0,1894.04667,0,0,122223.7643,1265863.595,12618.5739,5365.398813,c(-75.3769147970218, 39.9161786467331)
61,61,North Street,Route 102 Trolley,SEPTA,Trolley,Trolley,,0,24025.16814,23120.58077,243869.46,0,122797.7401,1281410.499,464818.3844,12130.18967,893.4749285,0,26436.52063,2196141.437,3360.58058,0,3360.58058,31613.64182,0,0,0,459190.3715,821114.5481,12130.18967,0,c(-75.2855787313057, 39.9176696595307)
62,62,Ryers,Fox Chase Line,SEPTA,SEPTA_RR,Regional_Rail,,0,188341.4809,19007.69954,87341.8369,0,179390.1928,1242223.615,3180.133649,40972.01085,13584.41926,0,56134.87882,1786971.531,43204.73719,0,41307.5103,6324.347639,2152.861556,0,0,805792.2512,410689.7792,15121.2513,25850.75955,c(-75.0867418557019, 40.0636635068456)
63,63,Hamilton,Northeast Corridor,NJ Transit,NJT_NEC,Regional_Rail,,0,207129.0831,201022.8563,0,0,54601.6793,307431.2523,224949.8462,210660.3135,24829.44868,13233.84419,483695.9854,1727554.309,0,0,0,0,83781.44293,6156.03427,0,45159.79414,243397.9377,124500.0472,53103.56943,c(-74.704050946452, 40.2553574702933)
64,64,Swarthmore,Media/Elwyn Line,SEPTA,SEPTA_RR,Regional_Rail,,1628.464136,25324.90449,0,504659.1044,0,208281.4167,731581.4929,305350.8765,37835.69604,0,44155.83269,602585.4492,2450627.163,10776.07421,0,9579.026826,442649.2167,10812.19165,0,0,39451.75277,688614.7717,14364.12475,23471.57128,c(-75.3508923413999, 39.9023331819648)
65,65,Drexeline,Route 101 Trolley,SEPTA,Trolley,Trolley,,0,132469.2276,0,38706.96158,0,55897.9986,1034000.287,3217.963264,6589.079388,0,33424.49537,385255.9042,1689561.917,0,0,0,21081.52683,2271.227478,1598.123849,0,174736.1222,836479.9081,994.5233231,0,c(-75.321462017155, 39.9448409879783)
66,66,Paoli,Paoli/Thorndale Line,SEPTA,SEPTA_RR,Regional_Rail,,0,339587.0096,0,113049.115,0,46396.46213,1093154.656,123962.6908,32123.28725,4732.186739,0,418024.6803,2169217.925,1812.163351,0,1812.163351,40700.55244,15797.61155,0,0,173432.8737,886067.1836,15273.43116,7939.822118,c(-75.4837576758152, 40.0429565479762)
67,67,Allegheny,Manayunk/Norristown Line,SEPTA,SEPTA_RR,Regional_Rail,,0,126655.5136,258497.8045,152384.4348,0,19092.87406,847379.4396,130464.4625,100038.8096,33029.78426,0,20838.85705,1645861.361,42520.61902,0,40307.37697,40276.866,0,2758.91106,0,837234.1849,2105.236891,87351.78031,9928.118233,c(-75.165255482517, 40.003788771253)
68,68,Burlington South,RiverLine,NJ Transit,NJT_Riverline,Light_Rail,,0,137940.1303,57864.31128,259946.7355,0,184063.6175,459254.1853,48551.77943,156831.962,343837.0437,228077.1546,11803.59214,1888170.512,0,0,0,21969.05739,15102.43665,0,0,136699.6816,318424.8847,154562.0553,0,c(-74.8690032909924, 40.0745803768005)
