"","ID","station","line","operator","type_sym","type","com_lgret_ar","com_mx_ar","edu_ar","pkin_tran_ar","pkin_und_ar","resi_mx_ar","resi_multi_ar","resi_sigle_ar","under_gen_ar","under_trsit_ar","Wood_ar","Agri_ar","geometry","potential"
"85",85,"Sharon Hill","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,1331.36951072213,42320.6048673406,1816.09325030508,0,0,489218.790216026,467928.155416423,41887.1299482393,0,33044.7940668753,0,c(-75.271307933542, 39.9040961010429),74931.9240151146
"86",86,"Woodcrest","PATCO","PATCO","PATCO","Transit_Rail",0,0,0,98442.5179947789,0,0,0,561982.625005833,67427.8033872777,0,979775.502979739,0,c(-75.0112182075294, 39.8701872647109),1047203.30636702
"87",87,"Wissahickon Transportation Center","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,2797.7188964671,12196.0487172611,5966.79041310523,0,0,522775.664592106,17212.3052441889,12244.1109298826,41273.8257219491,179271.72290545,0,c(-75.2101994268727, 40.0165622628243),232789.659557282
"88",88,"Norwood","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,13009.8725313222,39593.7299662292,3710.0617308484,1152.10271249194,0,422571.43099798,892944.630197547,13325.0391188271,0,13879.0427701009,0,c(-75.3021122909862, 39.8912409507965),27204.081888928
"89",89,"Lawndale","Fox Chase Line","SEPTA","SEPTA_RR","Regional_Rail",0,24666.4972786599,7261.43874471203,0,0,0,516742.785603818,426667.462845391,19989.1115651808,0,192612.017456764,0,c(-75.1032156032883, 40.0513472545739),212601.129021945
"90",90,"Ardsley","Warminster Line","SEPTA","SEPTA_RR","Regional_Rail",0,7019.71465238885,0,1739.09823228864,0,0,47589.1863173664,1533466.35786127,2421.15732157991,0,95673.0325167478,0,c(-75.1531625733623, 40.1141682999249),98094.1898383277
"91",91,"Pennbrook","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,47878.8316214244,2670.01665498798,0,0,329338.967332728,521414.812174471,53586.4935869643,47042.2430021201,289289.230194777,0,c(-75.2817189375933, 40.2301216413069),389917.966783862
"92",92,"Doylestown","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,38087.588414258,7068.75905384753,0,0,216842.537120412,841976.126196399,9041.78240867227,4584.92722715767,6611.38119361796,3166.7511125252,c(-75.1308434309217, 40.3060224773667),23404.8419419731
"93",93,"Fortuna","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,3199.55813246825,0,0,173606.84201899,1006589.22265801,13740.4432051558,1652.21972710273,254147.947989995,56821.2212506205,c(-75.2662882741686, 40.2595313745137),326361.832172874
"94",94,"Cynwyd","Cynwyd Line","SEPTA","SEPTA_RR","Regional_Rail",0,22292.7209353309,8638.53213193701,2594.39306517842,0,0,106640.940673679,1225424.01449113,0,0,15307.9791726504,0,c(-75.2318206965873, 40.0067721153283),15307.9791726504
"95",95,"Rydal","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,1261.82564687648,0,0,42879.8950026106,1173652.17157446,71251.2955231802,0,290225.927059563,0,c(-75.1106682216159, 40.1074289089845),361477.222582743
"96",96,"Woodbourne","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,21970.0041120879,0,0,220381.074220987,244765.062573742,48725.0479180998,4199.71356461833,670885.73162303,24048.2755620411,c(-74.8909075206796, 40.1908661008677),747858.76866779
"97",97,"Queen Lane","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,4927.93035369171,106385.539062576,3866.93969673849,0,0,914907.691031934,132844.244481373,2039.40444012485,10791.6314033194,100683.982194847,5226.20451145112,c(-75.1780590854573, 40.0232858662222),118741.222549742
"98",98,"Burlington Town Centre","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,46732.0937947294,48104.9674435272,14131.1754607259,0,0,433759.068647847,154153.242512098,57726.745205266,0,6591.42951931492,0,c(-74.8594258401675, 40.0773377581739),64318.1747245809
"99",99,"Folcroft","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,4884.9428973024,1661.01878315309,1814.51163029711,2052.33110198062,0,515747.862755602,591041.015328127,13110.8786152989,0,129312.513488606,0,c(-75.2798731814462, 39.9005091737502),142423.392103905
