"","ID","station","line","operator","type_sym","type","com_lgret_ar","com_mx_ar","edu_ar","pkin_tran_ar","pkin_und_ar","resi_mx_ar","resi_multi_ar","resi_sigle_ar","under_gen_ar","under_trsit_ar","Wood_ar","Agri_ar","geometry","potential"
"307",307,"Fern Rock Transportation Center","Broad Street Line","SEPTA","BSL","Transit_Rail",0,46736.8739775823,44534.42193171,25249.1211396358,0,0,754646.362815044,159226.168301715,3928.73602683022,0,28804.4047848562,0,c(-75.1368235524688, 40.0418298570386),32733.1408116864
"308",308,"Church","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,59627.0172704304,51382.0400652009,12694.2697226666,0,0,616783.151349299,6284.47148334321,48085.3862093966,0,26462.3262076874,0,c(-75.0890847695248, 40.0104226625642),74547.7124170841
"309",309,"Hunting Park","Broad Street Line","SEPTA","BSL","Transit_Rail",0,23858.222035834,57373.3298944626,0,0,0,693293.405507089,0,72404.8270355739,0,12805.9822812543,963.891342478882,c(-75.1492977323284, 40.0179678398902),86174.7006593071
"310",310,"Hughes Park","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,0,0,0,0,155754.049585895,398970.371155571,107993.881065112,0,97602.8251477109,7395.68478537535,c(-75.3489040475582, 40.081239190804),212992.390998198
"311",311,"Warminster","Warminster Line","SEPTA","SEPTA_RR","Regional_Rail",51852.1456892461,0,0,30126.1301510914,0,0,136537.63995234,378242.593843159,120966.127997845,0,80347.0102821743,0,c(-75.0890975808459, 40.1951158802669),201313.138280019
"312",312,"Wynnewood","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,7645.77174230452,0,5934.97171169418,204937.975052145,1203544.07751273,17660.0737290902,18432.2687672743,176792.926804862,0,c(-75.2731184765242, 40.002825783544),212885.269301226
"313",313,"Wyoming","Broad Street Line","SEPTA","BSL","Transit_Rail",0,39220.4752835667,17611.8045553847,600.796055057322,0,0,842398.524204508,0,163662.64964295,0,9132.38977838899,963.891342478882,c(-75.1478556233418, 40.0245622801973),173758.930763817
"314",314,"City Hall","Broad Street Line","SEPTA","BSL","Transit_Rail",0,136375.872444676,87395.738729231,497.313882228068,0,23259.117653683,219824.500271768,0,12290.0190288596,36123.632897461,0,0,c(-75.1641417412989, 39.9524594393105),48413.6519263206
"315",315,"5th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,175681.610402621,30303.4074779898,497.313882228068,1150.29118496028,15402.1386702065,308016.051255282,0,24758.0971260873,10834.0055757756,0,0,c(-75.148948934779, 39.950487596152),35592.1027018629
"316",316,"Providence Road","Route 101 Trolley","SEPTA","Trolley","Trolley",0,9715.49320939152,9313.39541189142,1894.04666992353,0,0,203479.760416462,910761.121459105,12618.5738964439,5365.3988129955,46497.1376275204,0,c(-75.3807186463167, 39.9167202091326),64481.1103369598
"317",317,"Levittown","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",28581.1970218731,0,15458.6049742507,18355.5001778434,0,0,37423.3805760074,267640.300840505,141025.181863907,0,189889.513545163,9577.8890673325,c(-74.8170164354202, 40.1402588400636),340492.584476402
"318",318,"Lombard-South","Broad Street Line","SEPTA","BSL","Transit_Rail",0,88219.2979767912,73713.9444210593,0,3102.3042454169,16397.0485256904,894114.17746573,0,26493.4310232165,7130.19497284409,0,858.230947091162,c(-75.1654004663232, 39.9441472657926),34481.8569431518
